country,health_exp,life_expect
Canada,11.15471363,81.29560976
Chile,9.00162983,79.519
Germany,12.65471077,80.70560976
Denmark,9.5,81.30487805
Estonia,6.94306278,77.94390244
United Kingdom,11.34454918,82.05853659
Ireland,6.07060957,83.05609756
Iceland,8.57,82.17073171
Italy,9,82.9
Lithuania,7.46,75.79268293
Luxembourg,5.46,83.04634146
Norway,8.14,82.56097561
Poland,6.68,77.30487805
Portugal,10.62,81.5804878
Slovenia,8.85,81.28292683
Sweden,10.67,83.1097561
United States,16.57115173,77.43414634